Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2021-01-01,MFP iOS calorie adjustment,Cardio,14.0,1,,,,,
2021-01-02,MFP iOS calorie adjustment,Cardio,74.0,1,,,,,
2021-01-03,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2021-01-04,MFP iOS calorie adjustment,Cardio,6.0,1,,,,,
2021-01-05,MFP iOS calorie adjustment,Cardio,16.0,1,,,,,
2021-01-06,MFP iOS calorie adjustment,Cardio,9.0,1,,,,,
2021-01-07,MFP iOS calorie adjustment,Cardio,10.0,1,,,,,
2021-01-08,MFP iOS calorie adjustment,Cardio,57.0,1,,,,,
2021-01-09,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2021-01-10,MFP iOS calorie adjustment,Cardio,14.0,1,,,,,
2021-01-11,MFP iOS calorie adjustment,Cardio,11.0,1,,,,,
2021-01-12,MFP iOS calorie adjustment,Cardio,17.0,1,,,,,
2021-01-13,MFP iOS calorie adjustment,Cardio,14.0,1,,,,,
2021-01-14,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2021-01-15,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2021-01-16,MFP iOS calorie adjustment,Cardio,207.0,1,,,,,
2021-01-17,MFP iOS calorie adjustment,Cardio,51.0,1,,,,,
2021-01-18,MFP iOS calorie adjustment,Cardio,46.0,1,,,,,
2021-01-19,MFP iOS calorie adjustment,Cardio,60.0,1,,,,,
2021-01-20,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2021-01-21,MFP iOS calorie adjustment,Cardio,51.0,1,,,,,
2021-01-22,MFP iOS calorie adjustment,Cardio,12.0,1,,,,,
2021-01-23,MFP iOS calorie adjustment,Cardio,146.0,1,,,,,
2021-01-24,MFP iOS calorie adjustment,Cardio,17.0,1,,,,,
2021-01-25,MFP iOS calorie adjustment,Cardio,128.0,1,,,,,
2021-01-26,MFP iOS calorie adjustment,Cardio,104.0,1,,,,,
2021-01-27,MFP iOS calorie adjustment,Cardio,102.0,1,,,,,
2021-01-28,MFP iOS calorie adjustment,Cardio,6.0,1,,,,,
