Date,Weight
2021-01-01,97.8
2021-01-02,96.6
2021-01-03,96.5
2021-01-04,96.1
2021-01-05,96.4
2021-01-06,95.5
2021-01-07,95.6
2021-01-08,95.6
2021-01-09,95.5
2021-01-10,95.8
2021-01-11,95.7
2021-01-12,96.0
2021-01-13,95.4
2021-01-14,95.1
2021-01-15,95.3
2021-01-16,95.3
2021-01-17,95.3
2021-01-18,95.3
2021-01-19,95.2
2021-01-20,94.6
2021-01-21,94.7
2021-01-22,94.5
2021-01-23,94.8
2021-01-24,94.6
2021-01-25,94.8
2021-01-26,94.8
2021-01-27,94.9
2021-01-28,94.1
2021-01-29,94.2
2021-01-30,93.4
2021-01-31,93.3
2021-02-01,93.7
2021-02-02,93.7
2021-02-03,93.4
2021-02-04,93.9
2021-02-05,93.4
2021-02-06,93.4
2021-02-07,92.5
2021-02-08,93.1
2021-02-09,93.3
2021-02-10,92.8
2021-02-11,92.8
2021-02-12,92.6
2021-02-13,92.4
2021-02-14,92.4
2021-02-17,92.7
2021-02-18,92.7
2021-02-19,92.3
2021-02-20,91.9
2021-02-22,91.6
2021-02-23,91.8
2021-02-24,91.3
2021-02-25,91.5
2021-02-27,91.0
2021-02-28,91.3
2021-03-01,91.2
2021-03-02,91.8
2021-03-03,91.3
2021-03-04,91.3
2021-03-05,90.7
2021-03-06,90.4
2021-03-07,90.0
2021-03-08,89.5
2021-03-09,90.0
2021-03-10,90.2
2021-03-11,90.4
2021-03-12,90.0
2021-03-13,89.9
2021-03-14,90.3
2021-03-15,90.1
2021-03-17,89.9
2021-03-18,89.6
2021-03-19,89.5
2021-03-20,89.1
2021-03-21,88.6
2021-03-22,89.4
2021-03-23,88.7
2021-03-24,88.6
2021-03-25,88.6
2021-03-26,88.2
2021-03-27,88.6
2021-03-28,87.9
2021-03-29,87.9
2021-03-30,88.5
2021-04-01,88.4
2021-04-03,87.2
2021-04-04,87.6
2021-04-06,88.6
2021-04-08,88.5
2021-04-09,88.6
2021-04-10,88.3
2021-04-11,87.8
2021-04-12,87.2
2021-04-13,87.7
2021-04-14,87.8
2021-04-15,87.9
2021-04-16,88.2
2021-04-17,87.5
2021-04-18,87.4
2021-04-19,87.5
2021-04-20,87.8
2021-04-21,89.2
2021-04-22,88.3
2021-04-23,87.8
2021-04-24,87.6
2021-04-25,87.1
2021-04-26,86.9
2021-04-27,88.5
2021-04-28,89.6
2021-04-29,89.8
2021-04-30,88.9
2021-05-01,86.6
